tweets,id,len,date,source,likes,retweets
b'RT @NewsHour: WATCH LIVE: 2018 NASCAR champion Joey Logano visits White House https://t.co/F0u4mfM78R',1123315563412041728,101,2019-04-30 19:57:55,Twitter for  iPhone,0,9
"b'RT @Circa: Former Vice President Joe Biden campaigns in Cedar Rapids, Iowa, where he makes his first official trip to the state since annou\xe2\x80\xa6'",1123283986573344769,140,2019-04-30 17:52:26,TweetDeck,0,6
b'RT @ABCPolitics: LIVE: Democratic congresswomen hold news conference in defense of Rep. Ilhan Omar. https://t.co/DDCGB8XhB8',1123263591644323841,123,2019-04-30 16:31:24,TweetDeck,0,83
"b'RT @ABC: HAPPENING NOW: @ABC News has live coverage as crowds in Caracas, Venezuela, amid renewed unrest. https://t.co/2wScyxxiqM'",1123259684486549504,129,2019-04-30 16:15:52,TweetDeck,0,382
"b'RT @YahooFinance: LIVE: President Trump, Speaker Pelosi and Senator Schumer meet to discuss infrastructure in the US https://t.co/7zRGfKFkjx'",1123256754018705414,140,2019-04-30 16:04:13,TweetDeck,0,5
b'RT @YahooNews: WATCH LIVE: Acting U.S. Homeland Security Secretary Kevin McAleenan faces tough questioning from lawmakers as he testifies t\xe2\x80\xa6',1123238191207714816,140,2019-04-30 14:50:28,TweetDeck,0,10
"b'RT @cspan: ""Today in Washington"" on @cspanwj \xe2\x80\x93 LIVE on C-SPAN https://t.co/ZVtj1AMqXo  https://t.co/ZgQ8Y5rbJ4'",1123220019129782272,110,2019-04-30 13:38:15,Twitter for  iPhone,0,24
b'RT @NewsHour: WATCH LIVE: Former Vice President Joe Biden kicks off his 2020 campaign for president at a rally in Pittsburgh https://t.co/P\xe2\x80\xa6',1122948248325492738,140,2019-04-29 19:38:20,TweetDeck,0,21
b'RT @ABC7NY: LIVE: Presidential candidate Pete Buttigieg makes campaign appearance in NYC hosted by Al Sharpton https://t.co/qFNmWL7m6J',1122916547188666368,134,2019-04-29 17:32:22,TweetDeck,0,10
"b'RT @CNBC: WATCH: Boeing CEO Dennis Muilenburg holds a press conference, addressing 737 Max concerns. https://t.co/MKRgUkxGTg'",1122882278827470850,124,2019-04-29 15:16:12,TweetDeck,0,28
b'RT @ABCPolitics: NOW: U.S. Holocaust Memorial Museum holds a Days of Remembrance ceremony at the Capitol. https://t.co/IwaYRsm4R5',1122872611174780928,129,2019-04-29 14:37:47,TweetDeck,0,81
"b""RT @ABC: WATCH LIVE: The annual White House Correspondents' Dinner. https://t.co/NalmCSHIJs https://t.co/PAqc12twNx""",1122295662597550084,115,2019-04-28 00:25:11,Twitter for  iPhone,0,98
b'RT @ABC: HAPPENING NOW: Officials hold presser on California synagogue shooting. https://t.co/o5Oe3zTsTB',1122250212305776647,104,2019-04-27 21:24:35,Twitter for  iPhone,0,263
b'RT @NewsHour: WATCH LIVE: Trump addresses NRA convention in Indianapolis https://t.co/g5K0cYCBJG',1121801437120487424,96,2019-04-26 15:41:19,TweetDeck,0,14
b'RT @NewsHour: WATCH LIVE: Pompeo addresses State Department employees https://t.co/rx5111ckzv',1121776576897736704,93,2019-04-26 14:02:32,Twitter for  iPhone,0,5
b'RT @ABC: HAPPENING NOW: Pres. Trump speaks to reporters before leaving to address NRA conference. https://t.co/dwEEqJIS9n',1121770996472721411,121,2019-04-26 13:40:21,Twitter for  iPhone,0,111
b'RT @ABC: WATCH: Pres. Trump delivers remarks at Take Our Daughters and Sons to Work Day. https://t.co/xlkfVADK5y',1121525208626679808,112,2019-04-25 21:23:41,Twitter for  iPhone,0,92
"b'Happy anniversary, @KellyO! #GoingLiveFor25 https://t.co/j9n6itenG5'",1121408191693250560,67,2019-04-25 13:38:42,Twitter for  iPhone,10,4
b'RT @cspan: Happening Now: Former Energy Secretary @ErnestMoniz discusses Future of Energy Policy on @cspanwj \xe2\x80\x93 LIVE on C-SPAN https://t.co/\xe2\x80\xa6',1121393588515033089,140,2019-04-25 12:40:40,Twitter for  iPhone,0,13
b'RT @MSNBC: LIVE: 2020 presidential candidates participate in the #SheThePeople2020 forum. https://t.co/izIzuxH20p',1121112655119486982,113,2019-04-24 18:04:20,TweetDeck,0,902
"b'RT @ABC: WATCH: Pres. Trump, first lady Melania Trump speak at drug abuse and heroin summit in Atlanta, GA. https://t.co/LyB6NXmd4q'",1121108567568920581,131,2019-04-24 17:48:06,TweetDeck,0,221
b'The first installment of #TalkingTwitter highlights best practices from @ricsanchez from @washingtonpost \xe2\xac\x87\xef\xb8\x8f https://t.co/0gP7BUNCnJ',1120769196214902785,131,2019-04-23 19:19:33,Twitter for iPhone,15,6
b'RT @ABCPolitics: HAPPENING NOW: The ABC Politics team breaks down the top stories in politics: https://t.co/hLTwWRPPFP',1120409934515048450,118,2019-04-22 19:31:59,TweetDeck,0,7
b'RT @NewsHour: WATCH LIVE: President Trump and first lady Melania Trump hold White House Easter Egg Roll https://t.co/bBkWKwiHGb',1120338370239127552,127,2019-04-22 14:47:37,Twitter for  iPhone,0,19
b'RT @NBCNews: LIVE: Sec. Pompeo expected to make announcement on Iranian oil and US sanctions. https://t.co/lXeCswyDnS',1120308775066447872,117,2019-04-22 12:50:00,Twitter for  iPhone,0,171
b'RT @vicenews: 7 hours and we\xe2\x80\x99re on page 221\nhttps://t.co/V0mJPSaWBS',1119010745549754368,67,2019-04-18 22:52:06,Twitter for iPhone,0,74
b'RT @NewsHour: WATCH LIVE: House Intelligence Committee Chairman Adam Schiff (D-CA) discusses the public release of the Mueller report  http\xe2\x80\xa6',1118969229808734208,140,2019-04-18 20:07:08,TweetDeck,0,44
b'RT @ABCNewsLive: ABC NEWS SPECIAL REPORT: House Judiciary chairman Rep. Jerry Nadler expected to make first remarks since public release of\xe2\x80\xa6',1118950447757316096,140,2019-04-18 18:52:30,TweetDeck,0,4
b'RT @NewsHour: WATCH LIVE: White House reacts to Mueller report release https://t.co/cPA3ghYYOV',1118929725299351555,94,2019-04-18 17:30:09,TweetDeck,0,30
